type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,PASSIVE,3E:82:C0:FC:05:0D,-72,11,0,0,0,0,0,0,0,0,0,-96,0,6,0,266527,0,989,0,0,0.614651,128,[-35 -45 61 0 1 -14 -2 -6 -2 -3 10 4 12 5 18 6 22 9 26 4 31 12 36 6 37 7 35 10 38 5 33 6 25 9 22 2 23 1 16 1 10 2 6 -1 2 -3 3 -4 2 0 -1 -1 -6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -31 -1 -28 -5 -29 -8 -33 -7 -31 -9 -34 -6 -31 -8 -26 -5 -25 -7 -22 -9 -24 -7 -12 -9 -9 -8 -7 -12 -5 -11 -2 -15 -1 -12 2 -15 1 -17 3 -23 -3 -21 -2 -27 -8 -23 -5 -25 -5 -21 -14 -18 ]
CSI_DATA,PASSIVE,3E:82:C0:FC:05:0D,-72,11,0,0,0,0,0,0,0,0,0,-96,0,6,0,267904,0,969,0,0,0.6471,128,[-55 -109 60 0 11 -1 5 1 -4 5 -3 7 -15 10 -14 12 -16 18 -22 19 -19 23 -21 25 -22 31 -22 29 -21 29 -15 26 -16 26 -13 19 -8 19 -5 10 -4 10 1 6 -1 3 3 2 0 -3 -1 -4 -1 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 -22 18 -25 20 -24 20 -23 25 -24 21 -25 20 -20 19 -19 18 -21 16 -15 14 -17 14 -8 13 -7 13 -3 12 1 11 2 18 1 21 10 11 10 16 7 19 6 22 6 19 7 27 7 20 1 21 -1 ]
CSI_DATA,PASSIVE,3E:82:C0:FC:05:0D,-74,11,0,0,0,0,0,0,0,0,0,-96,0,6,0,983343,0,212,0,0,1.32728,128,[-44 64 13 0 8 -8 0 -9 1 -10 -6 -14 -10 -10 -14 -7 -19 -7 -23 -8 -28 -7 -27 -8 -26 -12 -29 -14 -30 -12 -24 -7 -21 -9 -17 -7 -10 -4 -11 -7 -1 -2 -7 7 0 9 1 9 1 12 2 17 -1 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -15 -4 -28 0 -25 -3 -32 -5 -31 -8 -32 -9 -32 -8 -31 -13 -27 -12 -25 -10 -21 -14 -18 -11 -16 -8 -7 -10 -6 -7 -3 -3 6 -4 8 -4 12 -4 11 0 12 -1 16 -1 23 1 25 -8 20 -8 21 -6 ]
CSI_DATA,PASSIVE,3E:82:C0:FC:05:0D,-74,11,0,0,0,0,0,0,0,0,0,-96,0,6,0,983684,0,98,0,0,1.36064,128,[98 32 6 0 7 12 5 8 6 -5 9 -3 7 -8 15 -19 13 -18 16 -23 14 -29 12 -31 10 -32 17 -29 15 -28 13 -28 14 -25 7 -16 8 -12 0 -10 -1 -5 -8 -6 -9 -6 -16 -5 -22 -4 -20 -1 -20 -6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 -25 5 -23 8 -28 11 -28 13 -32 13 -32 15 -29 18 -33 22 -26 18 -22 18 -23 18 -16 12 -15 6 -10 7 -7 0 3 0 -1 -2 9 -6 14 -2 13 0 21 -4 23 -1 17 -4 22 5 23 -2 11 ]
CSI_DATA,PASSIVE,3E:82:C0:FC:05:0D,-74,11,0,0,0,0,0,0,0,0,0,-96,0,6,0,984562,0,454,0,0,1.40166,128,[-58 97 28 0 8 -5 6 -4 -2 -8 -4 -5 -11 -5 -17 -9 -22 -13 -29 -12 -30 -18 -33 -15 -37 -12 -28 -18 -35 -14 -32 -19 -26 -6 -19 -5 -18 -5 -13 -2 -7 2 -8 13 -6 11 -4 12 -2 15 -3 19 -2 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -22 -13 -22 -19 -20 -20 -28 -21 -26 -23 -28 -25 -21 -26 -28 -34 -20 -26 -15 -30 -14 -17 -13 -22 -11 -18 1 -12 -3 -10 -3 1 6 -3 11 2 14 -1 12 6 14 0 24 6 18 4 25 4 22 -2 17 3 ]
CSI_DATA,PASSIVE,3E:82:C0:FC:05:0D,-74,11,0,0,0,0,0,0,0,0,0,-96,0,6,0,985227,0,98,0,0,1.44524,128,[98 32 6 0 10 -2 2 -4 3 -9 4 -11 -7 -8 -10 -14 -15 -16 -17 -15 -19 -24 -26 -18 -24 -24 -25 -20 -23 -22 -21 -12 -20 -14 -19 -12 -11 -11 -11 -1 -6 3 -5 6 -5 8 -7 4 -7 11 1 14 -4 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -15 -8 -21 -20 -19 -21 -19 -23 -24 -25 -21 -26 -22 -26 -22 -29 -15 -26 -16 -25 -11 -20 -6 -23 -5 -18 -4 -13 -1 -11 10 -2 1 0 8 3 9 2 10 5 19 5 18 6 20 4 20 9 16 2 25 0 ]
CSI_DATA,PASSIVE,3E:82:C0:FC:05:0D,-74,11,0,0,0,0,0,0,0,0,0,-96,0,6,0,985416,0,128,0,0,1.48795,128,[-128 0 8 0 8 9 9 3 6 -6 9 -14 4 -14 0 -18 -1 -24 -7 -30 -3 -29 -4 -33 -3 -39 -4 -31 -5 -32 -8 -31 -8 -26 -4 -20 -4 -18 -5 -13 -8 -4 -11 4 -10 5 -10 2 -16 7 -17 8 -25 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -10 -21 -9 -26 -9 -25 -9 -35 -8 -38 -10 -37 -8 -36 -4 -34 -1 -35 -4 -30 5 -27 2 -20 2 -18 2 -6 4 -12 0 -4 5 1 6 5 5 5 8 12 9 12 10 18 11 18 7 18 11 14 11 14 ]
CSI_DATA,PASSIVE,3E:82:C0:FC:05:0D,-74,11,0,0,0,0,0,0,0,0,0,-96,0,6,0,988627,0,98,0,0,1.52892,128,[98 32 6 0 3 5 5 7 1 1 6 -10 6 -12 6 -12 9 -19 6 -23 4 -30 6 -32 2 -33 5 -38 6 -33 5 -29 10 -28 6 -19 2 -17 -1 -9 -10 -9 -13 -3 -11 -6 -14 -5 -14 8 -14 -2 -18 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 -23 1 -23 6 -27 3 -33 6 -35 8 -28 9 -33 8 -33 14 -33 12 -29 15 -22 11 -17 9 -16 4 -10 9 -6 7 1 1 3 1 3 -3 11 1 9 -2 14 1 21 1 15 6 20 5 21 6 22 ]
CSI_DATA,PASSIVE,3E:82:C0:FC:05:0D,-67,11,0,0,0,0,0,0,0,0,0,-96,0,6,0,1597779,0,402,0,0,1.94196,128,[-110 33 25 0 13 14 10 13 9 9 5 8 1 8 -5 12 -9 10 -14 13 -15 15 -20 16 -22 20 -25 23 -24 23 -24 25 -20 26 -20 27 -17 26 -14 23 -12 23 -7 22 -6 21 -6 18 -5 14 -2 13 -2 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 -10 20 -5 21 -6 23 -8 24 -7 27 -4 26 -6 25 -8 24 -5 25 -5 20 -3 18 0 19 3 12 4 11 5 11 8 7 12 9 15 9 17 8 16 12 19 13 19 16 22 17 21 16 22 19 16 ]
CSI_DATA,PASSIVE,3E:82:C0:FC:05:0D,-68,11,0,0,0,0,0,0,0,0,0,-96,0,6,0,1598372,0,382,0,0,1.97306,128,[126 -31 23 0 2 20 3 13 0 14 -2 10 -7 5 -8 6 -15 4 -18 2 -21 3 -25 3 -28 6 -31 7 -33 7 -31 11 -32 11 -29 12 -26 14 -26 13 -20 15 -18 14 -16 14 -13 13 -11 12 -7 8 -3 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 3 21 6 21 8 25 7 23 9 27 11 24 13 24 12 20 12 21 9 19 11 15 11 11 11 5 11 4 11 1 12 1 13 -1 15 -2 18 -5 21 -3 23 0 25 0 26 2 27 3 28 3 25 ]
