type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,PASSIVE,48:D6:D5:68:3E:D8,-67,11,1,7,0,0,1,1,0,0,0,-96,0,6,0,210208,0,138,0,0,0.555755,256,[-118 -96 8 0 8 -22 10 -21 9 -22 7 -24 6 -25 4 -25 1 -24 6 -25 3 -24 2 -25 3 -26 2 -24 0 -25 1 -23 2 -23 2 -24 2 -23 2 -24 3 -25 5 -25 6 -26 5 -30 9 -25 9 -24 10 -26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 -19 10 -21 10 -20 12 -20 12 -20 13 -19 10 -17 12 -19 13 -18 12 -17 13 -16 11 -18 14 -18 14 -22 15 -21 14 -19 15 -19 15 -21 13 -21 13 -23 12 -24 14 -21 12 -20 10 -20 9 -20 8 -21 ]
CSI_DATA,PASSIVE,5A:A8:75:BC:57:C7,-44,10,0,0,0,0,0,0,0,0,0,-96,0,6,0,532185,0,506,0,0,0.874828,128,[-6 -95 31 0 21 -30 23 -29 23 -28 22 -26 20 -24 18 -21 14 -18 8 -15 4 -13 -1 -12 -6 -12 -10 -12 -14 -13 -17 -15 -19 -17 -19 -17 -17 -20 -16 -21 -14 -21 -11 -21 -8 -20 -6 -17 -4 -15 -3 -12 -4 -10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 19 0 18 -2 15 -3 12 -1 9 2 7 6 5 10 4 15 6 19 8 22 11 24 14 25 17 24 19 23 20 21 21 18 19 16 17 16 15 14 10 11 5 11 -1 11 -6 12 -13 14 -19 16 -22 ]
CSI_DATA,PASSIVE,6A:D3:22:4E:6F:2A,-24,10,0,0,0,0,0,0,0,0,0,-96,0,6,0,537824,0,505,0,0,0.908219,128,[-7 -111 31 0 -35 19 -33 16 -28 13 -24 12 -19 11 -13 11 -8 11 -4 13 0 15 2 17 2 20 3 22 1 24 0 23 -2 23 -4 21 -5 19 -7 16 -6 13 -6 10 -5 9 -3 7 -2 7 0 7 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11 -7 -9 -6 -8 -5 -8 -4 -9 -2 -11 -1 -13 0 -17 -1 -20 -1 -23 -4 -24 -6 -24 -9 -25 -12 -24 -13 -22 -14 -19 -12 -18 -10 -16 -7 -16 -3 -15 2 -16 7 -18 12 -20 17 -24 20 -29 23 -32 24 ]
CSI_DATA,PASSIVE,5A:A8:75:BC:57:C7,-44,10,0,0,0,0,0,0,0,0,0,-96,0,6,0,553192,0,202,0,0,0.950211,128,[-54 -96 12 0 -29 -17 -30 -18 -29 -19 -27 -18 -24 -16 -21 -15 -18 -11 -15 -6 -13 -2 -11 2 -11 7 -11 11 -12 15 -13 18 -15 19 -15 18 -17 18 -18 16 -18 13 -17 11 -16 9 -14 7 -11 6 -8 5 -6 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 -8 20 -3 18 0 16 2 12 2 9 1 7 -2 4 -5 3 -10 4 -15 6 -19 8 -23 10 -24 13 -26 15 -26 16 -24 16 -22 15 -20 14 -18 10 -16 6 -13 1 -11 -5 -11 -11 -10 -17 -11 -21 -12 ]
CSI_DATA,PASSIVE,48:D6:D5:68:3E:D8,-67,11,1,6,0,0,1,0,0,0,0,-96,0,6,0,892707,0,102,0,0,1.23502,256,[102 96 6 0 -13 19 -11 20 -13 19 -11 23 -13 22 -10 24 -12 24 -10 22 -10 22 -11 25 -10 26 -9 23 -10 25 -10 22 -10 21 -10 19 -9 22 -11 22 -12 22 -12 21 -12 25 -15 23 -15 23 -17 21 -18 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -12 12 -14 11 -13 13 -16 13 -15 12 -15 12 -11 10 -13 12 -11 11 -13 11 -14 13 -17 11 -15 16 -18 16 -18 15 -15 14 -19 15 -18 17 -17 19 -18 19 -17 18 -16 17 -12 18 -15 19 -12 18 -12 17 ]
CSI_DATA,PASSIVE,6A:D3:22:4E:6F:2A,-25,10,0,0,0,0,0,0,0,0,0,-96,0,6,0,2617717,0,505,0,0,2.96035,128,[-7 -111 31 0 -27 -31 -23 -28 -19 -25 -17 -20 -15 -14 -15 -9 -15 -4 -17 0 -19 4 -22 6 -24 7 -26 7 -26 5 -26 3 -25 0 -23 -1 -19 -3 -16 -4 -13 -3 -11 -2 -9 -1 -9 1 -9 3 -11 4 -13 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 -15 5 -12 5 -10 3 -8 1 -8 -1 -9 -2 -11 -4 -14 -4 -18 -4 -22 -2 -25 1 -27 3 -28 5 -27 7 -26 7 -24 6 -21 4 -19 0 -16 -5 -15 -11 -14 -17 -15 -22 -17 -27 -20 -31 -23 -32 -27 ]
CSI_DATA,PASSIVE,5A:A8:75:BC:57:C7,-37,10,0,0,0,0,0,0,0,0,0,-96,0,6,0,2643059,0,506,0,0,2.99439,128,[-6 -95 31 0 2 -35 1 -32 0 -28 -1 -24 1 -21 3 -18 7 -16 8 -13 11 -14 14 -15 15 -16 17 -18 18 -20 18 -19 17 -20 16 -17 15 -16 14 -14 14 -12 14 -9 14 -7 14 -4 14 -1 15 2 14 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -13 8 -10 4 -7 -1 -4 -6 -2 -11 -2 -16 -1 -21 -2 -26 -4 -29 -6 -31 -9 -34 -11 -33 -13 -30 -14 -27 -14 -23 -13 -19 -10 -15 -6 -13 -1 -13 3 -13 8 -15 11 -18 14 -23 15 -27 15 -31 12 -34 ]
CSI_DATA,PASSIVE,D6:E2:CB:E0:11:92,-82,11,0,0,0,0,0,0,0,0,0,-96,0,6,0,3122073,0,274,0,0,3.46473,128,[18 33 17 0 -4 6 -11 18 3 2 -7 15 -3 1 -8 6 -5 5 9 5 15 -1 10 1 2 -7 18 -1 18 -23 2 -24 28 -22 17 -17 31 -33 24 -17 24 -14 19 -10 15 -11 17 -9 -2 -18 0 -27 6 -25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 1 10 -10 14 -11 21 -14 16 -14 13 -9 9 -3 5 -6 9 -5 3 -8 9 4 -5 4 -9 13 -14 14 -9 22 -20 12 -12 7 -9 11 -13 7 -15 19 -11 18 -14 21 -20 6 -24 17 -5 2 -18 27 ]
CSI_DATA,PASSIVE,3E:82:C0:FC:05:0D,-71,11,0,0,0,0,0,0,0,0,0,-96,0,6,0,6504586,0,30,0,0,6.84696,128,[30 -32 1 0 -30 14 -31 17 -30 19 -31 13 -28 20 -32 21 -27 18 -23 24 -21 21 -18 16 -14 18 -12 11 -6 9 -4 7 0 1 0 -2 4 -7 0 -10 3 -16 3 -19 4 -20 4 -23 7 -22 5 -28 5 -28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 -13 7 -12 7 -7 4 -3 2 0 -1 5 -2 9 -2 10 -3 14 -8 19 -9 21 -9 22 -12 24 -8 21 -9 23 -8 23 -8 24 -10 22 -7 17 -5 18 -8 14 -6 15 -10 14 -14 12 -15 13 -22 10 ]
CSI_DATA,PASSIVE,3E:82:C0:FC:05:0D,-71,11,0,0,0,0,0,0,0,0,0,-96,0,6,0,6504726,0,30,0,0,6.87857,128,[30 -32 1 0 -2 32 -9 32 -8 36 -5 39 -2 38 -4 36 1 33 4 36 0 30 4 23 5 22 3 16 3 13 2 9 4 4 -2 1 -2 -2 -2 -6 -5 -13 -9 -13 -7 -16 -11 -13 -12 -17 -13 -23 -14 -24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -12 -13 -8 -10 -5 -10 -4 -7 2 -6 5 -3 9 0 11 5 11 8 12 14 15 14 18 15 21 14 19 22 18 17 18 14 19 14 14 11 17 16 19 15 13 14 11 15 7 17 3 17 1 21 -3 23 ]
CSI_DATA,PASSIVE,3E:82:C0:FC:05:08,-71,11,0,0,0,0,0,0,0,0,0,-96,0,6,0,6628868,0,212,0,0,6.97148,128,[-44 64 13 0 -36 -3 -36 -7 -38 -5 -39 -5 -36 -1 -37 0 -33 1 -32 4 -33 6 -27 5 -22 4 -18 3 -10 4 -6 6 -3 1 2 1 5 -3 9 -5 14 -8 17 -13 18 -15 19 -14 21 -16 23 -19 24 -15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 -11 10 -9 7 -8 5 -3 4 -1 0 3 -5 4 -7 9 -11 11 -16 12 -19 15 -19 16 -21 18 -21 19 -19 16 -21 18 -18 17 -17 19 -16 16 -14 15 -14 14 -17 11 -17 4 -21 1 -21 1 -26 -3 ]
CSI_DATA,PASSIVE,3E:82:C0:FC:05:0A,-71,11,0,0,0,0,0,0,0,0,0,-96,0,6,0,6629208,0,212,0,0,7.00398,128,[-44 64 13 0 17 -23 19 -29 22 -28 20 -33 18 -32 18 -33 16 -31 14 -31 13 -27 8 -25 4 -23 3 -19 0 -10 -2 -9 -2 -3 0 2 -1 6 1 10 0 14 1 17 4 18 2 20 3 22 5 27 1 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 12 4 13 -1 11 -1 6 -1 1 -2 -3 -4 -7 -6 -10 -4 -14 -6 -18 -4 -20 -4 -24 -6 -25 -6 -23 -5 -23 -7 -22 -9 -25 -6 -23 -8 -20 -8 -21 -6 -18 -4 -16 3 -16 3 -15 9 -17 12 -18 ]
CSI_DATA,PASSIVE,3E:82:C0:FC:05:0D,-70,11,0,0,0,0,0,0,0,0,0,-96,0,6,0,6706022,0,212,0,0,7.04861,128,[-44 64 13 0 -23 -25 -24 -32 -24 -29 -26 -31 -27 -31 -27 -29 -30 -27 -26 -24 -24 -15 -26 -19 -20 -15 -21 -8 -16 -10 -9 -6 -6 -3 -8 4 -2 5 7 7 11 6 16 7 14 9 20 7 20 7 22 13 26 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 -10 12 -9 10 -4 8 -1 1 -1 -3 -2 -6 1 -12 6 -15 4 -19 9 -20 12 -24 7 -24 7 -25 5 -23 7 -25 11 -26 6 -23 7 -25 5 -21 8 -22 3 -18 0 -17 -6 -19 -9 -16 -11 -21 -16 ]
CSI_DATA,PASSIVE,6A:D3:22:4E:6F:2A,-24,10,0,0,0,0,0,0,0,0,0,-96,0,6,0,6813996,0,505,0,0,7.15662,128,[-7 -111 31 0 -6 -1 -7 0 -8 0 -8 0 -9 1 -9 0 -9 0 -9 0 -8 0 -7 -1 -7 -1 -5 0 -5 0 -4 0 -3 1 -3 2 -3 2 -3 3 -3 2 -4 3 -4 2 -4 2 -4 1 -4 1 -4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -2 -4 -2 -4 -1 -5 -1 -5 0 -5 1 -5 1 -5 1 -5 1 -4 1 -4 0 -4 0 -4 -1 -4 -2 -4 -3 -5 -4 -6 -4 -6 -5 -8 -5 -8 -4 -8 -4 -9 -4 -9 -4 -8 -4 -7 -4 -6 -4 -5 ]
